
0101	SOV	Sovereignty	Treason		Level 1
0102	SOV	Sovereignty	Treason Misprision		Level 1
0103	SOV	Sovereignty	Espionage		Level 1
0104	SOV	Sovereignty	Sabotage		Level 1
0105	SOV	Sovereignty	Sedition		Level 1
0106	SOV	Sovereignty	Selective Service	If the sentence is greater than 1 year, then it's a Level 2. If the sentence is less than or equal to 1 year, then it's a Level 3. If no sentence information is present, then it's a Level 3.	Level 3
0199	SOV	Sovereignty	Sovereignty		Level 1
0201	MIL	Military	Military Desertion	If the sentence is greater than 1 year, then it's a Level 2. If the sentence is less than or equal to 1 year, then it's a Level 3. If no sentence information is present, then it's a Level 3.	Level 3
0299	MIL	Military	Military	If the sentence is greater than 1 year, then it's a Level 2. If the sentence is less than or equal to 1 year, then it's a Level 3. If no sentence information is present, then it's a Level 3.	Level 3
0301	IMMG	Immigration	Illegal Entry (8USC1325 only)	If the sentence is greater than 1 year, then it's a Level 2. If the sentence is less than or equal to 1 year, then it's a Level 3. If no sentence information is present, then it's a Level 3.	Level 3
0302	IMMG	Immigration	False Citizenship (False Statements, Fraud Marriage)	If the sentence is greater than 1 year, then it's a Level 2. If the sentence is less than or equal to 1 year, then it's a Level 3. If no sentence information is present, then it's a Level 3.	Level 3
0303	IMMG	Immigration	Smuggling Aliens		Level 1
0399	IMMG	Immigration	Immigration (Possess of Fraud. Immigration Docs)	If the sentence is greater than 1 year, then it's a Level 2. If the sentence is less than or equal to 1 year, then it's a Level 3. If no sentence information is present, then it's a Level 3.	Level 3
03AA	IMMG	Immigration	Immigration (Trafficking of Fraud. Immigration Documents)	If the sentence is greater than or equal to 1 year, then it's a Level 1.  If the sentence is less than 1 year, then it's a Level 3.  If no sentence information is present, then it's a Level 1.	Level 1
03AB	IMMG	Immigration	Illegal Re-Entry (8USC1326 only)		Level 2
0901	HOM	Homicide	Homicide-Willful Kill-Family-Gun		Level 1
0902	HOM	Homicide	Homicide-Willful Kill-Family-Weapon		Level 1
0903	HOM	Homicide	Homicide-Willful Kill-Non-family-Gun		Level 1
0904	HOM	Homicide	Homicide-Willful Kill-Non-family-Weapon		Level 1
0905	HOM	Homicide	Homicide-Willful Kill-Public Official-Gun		Level 1
0906	HOM	Homicide	Homicide-Willful Kill-Public Official-Weapon		Level 1


0907	HOM	Homicide	Homicide-Willful Kill-Police Officer-Gun		Level 1
0908	HOM	Homicide	Homicide-Willful Kill-Police Officer-Weapon		Level 1
0909	HOM	Homicide	Homicide-Negligent Manslaughter-Vehicle		Level 2
0910	HOM	Homicide	Homicide-Negligent Manslaughter-Weapon		Level 2
0911	HOM	Homicide	Homicide-Willful Kill-Gun		Level 1
0912	HOM	Homicide	Homicide-Willful Kill-Weapon		Level 1
0913	HOM	Homicide	Homicide-John/Jane Doe-No Warr		Level 1
0999	HOM	Homicide	Homicide	If the sentence is greater than or equal to 1 year, then it's a Level 1.  If the sentence is less than 1 year, then it's a Level 2.  If no sentence information is present, then it's a Level 1.	Level 1
1001	KID	Kidnapping	Kidnap Minor For Ransom	If the sentence is greater than or equal to 1 year, then it's a Level 1.  If the sentence is less than 1 year, then it's a Level 2.  If no sentence information is present, then it's a Level 1.	Level 1
1002	KID	Kidnapping	Kidnap Adult For Ransom	If the sentence is greater than or equal to 1 year, then it's a Level 1.  If the sentence is less than 1 year, then it's a Level 2.  If no sentence information is present, then it's a Level 1.	Level 1
1003	KID	Kidnapping	Kidnap Minor To Sexually Assault		Level 1
1004	KID	Kidnapping	Kidnap Adult To Sexually Assault	If the sentence is greater than or equal to 1 year, then it's a Level 1.  If the sentence is less than 1 year, then it's a Level 2.  If no sentence information is present, then it's a Level 1.	Level 1
